a_Gene_ID	Mirbase ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
transcript:ENSORLT00000023038	ola-miR-187-3p#FMORYLATM0298	8090	2196	2202	2196	2202	1	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000036436	ola-miR-187-3p#FMORYLATM0298	8090	1713	1719	1713	1719	2	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000036436	ola-miR-187-3p#FMORYLATM0298	8090	569	575	569	575	3	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000026944	ola-miR-187-3p#FMORYLATM0298	8090	1540	1546	1540	1546	4	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000044305	ola-miR-187-3p#FMORYLATM0298	8090	1326	1331	1326	1331	5	6mer	x	6mer	8090		0
transcript:ENSORLT00000032861	ola-miR-187-3p#FMORYLATM0298	8090	772	778	772	778	6	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000032861	ola-miR-187-3p#FMORYLATM0298	8090	784	789	784	789	7	6mer	x	6mer	8090		0
transcript:ENSORLT00000036957	ola-miR-187-3p#FMORYLATM0298	8090	3034	3040	3034	3040	8	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000047064	ola-miR-187-3p#FMORYLATM0298	8090	1754	1759	1754	1759	9	6mer	x	6mer	8090		0
transcript:ENSORLT00000000086	ola-miR-187-3p#FMORYLATM0298	8090	3337	3342	3337	3342	10	6mer	x	6mer	8090		0
transcript:ENSORLT00000027943	ola-miR-187-3p#FMORYLATM0298	8090	2827	2833	2827	2833	11	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000045736	ola-miR-187-3p#FMORYLATM0298	8090	2155	2161	2155	2161	12	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000045736	ola-miR-187-3p#FMORYLATM0298	8090	585	591	585	591	13	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000000126	ola-miR-187-3p#FMORYLATM0298	8090	2393	2398	2393	2398	14	6mer	x	6mer	8090		0
transcript:ENSORLT00000000126	ola-miR-187-3p#FMORYLATM0298	8090	862	867	862	867	15	6mer	x	6mer	8090		0
transcript:ENSORLT00000029097	ola-miR-187-3p#FMORYLATM0298	8090	2393	2398	2393	2398	16	6mer	x	6mer	8090		0
transcript:ENSORLT00000029097	ola-miR-187-3p#FMORYLATM0298	8090	862	867	862	867	17	6mer	x	6mer	8090		0
transcript:ENSORLT00000000144	ola-miR-187-3p#FMORYLATM0298	8090	1463	1468	1463	1468	18	6mer	x	6mer	8090		0
transcript:ENSORLT00000036510	ola-miR-187-3p#FMORYLATM0298	8090	167	172	167	172	19	6mer	x	6mer	8090		0
transcript:ENSORLT00000043270	ola-miR-187-3p#FMORYLATM0298	8090	167	172	167	172	20	6mer	x	6mer	8090		0
transcript:ENSORLT00000035178	ola-miR-187-3p#FMORYLATM0298	8090	2219	2224	2219	2224	21	6mer	x	6mer	8090		0
transcript:ENSORLT00000035178	ola-miR-187-3p#FMORYLATM0298	8090	3631	3636	3631	3636	22	6mer	x	6mer	8090		0
transcript:ENSORLT00000040318	ola-miR-187-3p#FMORYLATM0298	8090	2219	2224	2219	2224	23	6mer	x	6mer	8090		0
transcript:ENSORLT00000040318	ola-miR-187-3p#FMORYLATM0298	8090	3631	3636	3631	3636	24	6mer	x	6mer	8090		0
transcript:ENSORLT00000046821	ola-miR-187-3p#FMORYLATM0298	8090	160	166	160	166	25	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000046821	ola-miR-187-3p#FMORYLATM0298	8090	3852	3858	3852	3858	26	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000040656	ola-miR-187-3p#FMORYLATM0298	8090	2108	2113	2108	2113	27	6mer	x	6mer	8090		0
transcript:ENSORLT00000001197	ola-miR-187-3p#FMORYLATM0298	8090	2520	2525	2520	2525	28	6mer	x	6mer	8090		0
transcript:ENSORLT00000001294	ola-miR-187-3p#FMORYLATM0298	8090	681	687	681	687	29	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000001295	ola-miR-187-3p#FMORYLATM0298	8090	681	687	681	687	30	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000039182	ola-miR-187-3p#FMORYLATM0298	8090	2261	2266	2261	2266	31	6mer	x	6mer	8090		0
transcript:ENSORLT00000039182	ola-miR-187-3p#FMORYLATM0298	8090	4061	4066	4061	4066	32	6mer	x	6mer	8090		0
transcript:ENSORLT00000039919	ola-miR-187-3p#FMORYLATM0298	8090	2261	2266	2261	2266	33	6mer	x	6mer	8090		0
transcript:ENSORLT00000039919	ola-miR-187-3p#FMORYLATM0298	8090	4061	4066	4061	4066	34	6mer	x	6mer	8090		0
transcript:ENSORLT00000034455	ola-miR-187-3p#FMORYLATM0298	8090	1901	1906	1901	1906	35	6mer	x	6mer	8090		0
transcript:ENSORLT00000001590	ola-miR-187-3p#FMORYLATM0298	8090	2642	2648	2642	2648	36	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000035667	ola-miR-187-3p#FMORYLATM0298	8090	91	97	91	97	37	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000028471	ola-miR-187-3p#FMORYLATM0298	8090	2009	2015	2009	2015	38	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000028182	ola-miR-187-3p#FMORYLATM0298	8090	2765	2770	2765	2770	39	6mer	x	6mer	8090		0
transcript:ENSORLT00000002112	ola-miR-187-3p#FMORYLATM0298	8090	3119	3124	3119	3124	40	6mer	x	6mer	8090		0
transcript:ENSORLT00000043724	ola-miR-187-3p#FMORYLATM0298	8090	639	645	639	645	41	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000002350	ola-miR-187-3p#FMORYLATM0298	8090	1191	1196	1191	1196	42	6mer	x	6mer	8090		0
transcript:ENSORLT00000002421	ola-miR-187-3p#FMORYLATM0298	8090	951	957	951	957	43	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000029146	ola-miR-187-3p#FMORYLATM0298	8090	951	957	951	957	44	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000039323	ola-miR-187-3p#FMORYLATM0298	8090	1449	1455	1449	1455	45	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000002721	ola-miR-187-3p#FMORYLATM0298	8090	932	938	932	938	46	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000032847	ola-miR-187-3p#FMORYLATM0298	8090	199	205	199	205	47	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000033043	ola-miR-187-3p#FMORYLATM0298	8090	182	188	182	188	48	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000034558	ola-miR-187-3p#FMORYLATM0298	8090	2677	2682	2677	2682	49	6mer	x	6mer	8090		0
transcript:ENSORLT00000003048	ola-miR-187-3p#FMORYLATM0298	8090	3424	3429	3424	3429	50	6mer	x	6mer	8090		0
transcript:ENSORLT00000003048	ola-miR-187-3p#FMORYLATM0298	8090	778	784	778	784	51	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000003061	ola-miR-187-3p#FMORYLATM0298	8090	161	166	161	166	52	6mer	x	6mer	8090		0
transcript:ENSORLT00000003061	ola-miR-187-3p#FMORYLATM0298	8090	634	639	634	639	53	6mer	x	6mer	8090		0
